,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
49,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/OpenData--inca_opendata_text_document,249341280,35250,4097,165328,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,249341280,498682560.0,0.000543689169334346,0.0006199751134200891
39,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--it.70_text_document,129121600,956,5491,828436,it,Gutenberg.it,,false,book,0.001,0.066,0.414,68616,6.3,0.129,1.96,3.21,3.0,129121600,387364800.0,0.0002815499120206718,0.00048158198236359045
7,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--AssembleeNationale_text_document,186543268,4489,5010,149277,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,186543268,373086536.0,0.0004067579761515393,0.0004638308736365438
78,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--erlang_text_document,173036242,13038,4097,810304,code,TheStack,erlang,false,programming,0.099,0.066,0.726,661,11.0,0.26,3.96,2.79,2.0,173036242,346072484.0,0.0003773058784238088,0.0004302463024162545
37,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--es.70_text_document,91992256,728,4100,1203413,es,Gutenberg.es,,false,book,0.001,0.051,0.303,69661,5.9,0.092,1.8,3.3,3.0,91992256,275976768.0,0.00020058930173869527,0.00034310148733115834
93,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--r_text_document,126438214,4126,4097,839869,code,TheStack,r,false,programming,0.039,0.028,0.305,711,10.9,0.158,5.67,1.93,2.0,126438214,252876428.0,0.0002756987833774587,0.00031438254454009177
22,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/DiscoursPublics_text_document,115059380,15799,4097,147648,fr,DiscoursPublics,,false,legi_spoken,0.11,0.163,1.025,1481,6.3,0.238,1.47,4.3,2.0,115059380,230118760.0,0.0002508872126441513,0.00028608962048139457
77,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--elixir_text_document,94744461,8316,4097,564949,code,TheStack,elixir,false,programming,0.282,0.073,0.737,259,10.1,0.258,3.53,2.85,2.0,94744461,189488922.0,0.00020659049035169925,0.0002355775503935819
75,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--clojure_text_document,83794605,6988,4097,638407,code,TheStack,clojure,false,programming,0.126,0.045,0.492,355,11.0,0.179,3.98,2.75,2.0,83794605,167589210.0,0.00018271430702188437,0.000208351259522156
18,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--Senat_text_document,76105164,739,9841,326151,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,76105164,152210328.0,0.0001659474652460843,0.00018923183390553896
23,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Europarl--de_text_document,72182868,2277,4099,179909,de,Europarl.de,,false,legi_dialogue,0.01,0.045,0.327,4444,7.2,0.073,1.63,4.46,2.0,72182868,144365736.0,0.00015739489082229282,0.00017947923334350142
25,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Europarl--es_text_document,72030346,2388,4099,172763,es,Europarl.es,,false,legi_dialogue,0.01,0.052,0.325,5086,6.2,0.073,1.4,4.43,2.0,72030346,144060692.0,0.0001570623162903693,0.00017909999471823625
26,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Europarl--fr_text_document,70327279,2380,4104,159704,fr,Europarl.fr,,false,legi_dialogue,0.01,0.053,0.339,5129,6.4,0.072,1.36,4.73,2.0,70327279,140654558.0,0.00015334877522508425,0.00017486540044452827
24,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Europarl--en_text_document,67076696,2648,4120,179710,en,Europarl.en,,false,legi_dialogue,0.011,0.056,0.339,5071,6.0,0.069,1.22,4.92,2.0,67076696,134153392.0,0.00014626087236711247,0.00016678298198535293
46,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/MathPile--wikipedia_text_document,39319458,4492,4097,80129,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,39319458,117958374.0,8.57361583236306e-05,0.00014664891489186887
44,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/MathPile--stackexchange_text_document,31647922,4879,4097,137036,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,31647922,94943766.0,6.900835843683073e-05,0.00011803655635035723
88,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--matlab_text_document,42606190,843,4583,159770,code,TheStack,matlab,false,programming,0.001,0.009,0.037,8940,4.3,0.043,4.94,0.87,2.0,42606190,85212380.0,9.290288414979389e-05,0.00010593824447218634
