tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
Falcon,65024,Code,tex,3.691,2.633,48.385671854019165,25358297,2608822,9630285
Falcon,65024,Code,tex,3.691,2.633,49.86292290687561,25358297,2608822,9630285
Falcon,65024,Code,tex,3.691,2.633,49.17977452278137,25358297,2608822,9630285
Falcon,65024,Code,tex,3.691,2.633,49.871344804763794,25358297,2608822,9630285
Falcon,65024,Code,tex,3.691,2.633,50.45287299156189,25358297,2608822,9630285
Falcon,65024,Code,tex,3.691,2.633,49.59157872200012,25358297,2608822,9630285
Falcon,65024,English,Europarl.en,1.193,5.053,242.98528575897217,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,265.2498230934143,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,276.6641037464142,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,270.35734844207764,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,284.99079394340515,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,286.1033334732056,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,293.9281373023987,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,284.68667221069336,170503545,28287016,33743463
Falcon,65024,English,Europarl.en,1.193,5.053,294.47931122779846,170503545,28287016,33743463
Falcon,65024,English,Gutenberg.en,1.522,3.826,1070.701129436493,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1080.6796717643738,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1107.6946938037872,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1091.23703956604,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1088.3955435752869,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1083.082329273224,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1082.83171916008,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1096.3355004787445,827487238,142129809,216274898
Falcon,65024,English,Gutenberg.en,1.522,3.826,1117.386485338211,827487238,142129809,216274898
Falcon,65024,English,Wikipedia.en,1.753,3.13,1461.830704689026,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1470.6441676616669,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1470.7818853855133,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1471.072594165802,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1473.686500787735,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1499.0947966575625,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1491.375583410263,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1510.6311938762665,992528730,180958556,317131048
Falcon,65024,English,Wikipedia.en,1.753,3.13,1517.1195633411407,992528730,180958556,317131048
Falcon,65024,French,Europarl.fr,1.596,4.012,276.80936765670776,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,275.6295008659363,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,279.87748861312866,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,275.46422147750854,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,279.9489586353302,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,281.8708837032318,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,284.2880334854126,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,283.8342237472534,177552772,27727351,44252035
Falcon,65024,French,Europarl.fr,1.596,4.012,290.13877296447754,177552772,27727351,44252035
Falcon,65024,French,GallicaMonographies,1.882,3.181,1028.3017163276672,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1053.23175907135,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1069.5480093955994,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1067.8130657672882,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1068.8497521877289,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1092.0324096679688,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1110.030963420868,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1123.8962090015411,607915815,101527426,191110970
Falcon,65024,French,GallicaMonographies,1.882,3.181,1142.70072388649,607915815,101527426,191110970
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1227.9320487976074,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1230.796381235123,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1241.756135225296,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1255.6448097229004,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1264.6517910957336,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1256.8122582435608,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1263.6303696632383,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1265.270168542862,726060299,118237740,224902194
Falcon,65024,French,Gutenberg.fr,1.902,3.228,1283.399214029312,726060299,118237740,224902194
Falcon,65024,French,Persee,1.912,3.269,1387.7965092658997,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1390.943238735199,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1402.983563661575,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1408.315512418747,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1410.4796998500824,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1415.6236906051636,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1425.991456270218,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1435.371827363968,913038858,146092571,279266622
Falcon,65024,French,Persee,1.912,3.269,1479.057896375656,913038858,146092571,279266622
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1491.0603332519531,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1499.3941793441772,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1490.4859189987185,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1507.1177506446838,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1509.0143206119535,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1517.366295337677,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1527.3116126060486,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1535.481597661972,1032611019,182384258,361888509
Falcon,65024,French,Wikipedia.fr,1.984,2.853,1535.6233003139496,1032611019,182384258,361888509
Falcon,65024,German,Europarl.de,1.902,3.81,257.144387960434,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,238.08584356307983,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,264.90544414520264,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,259.1529266834259,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,251.4005460739136,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,254.615535736084,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,263.5437171459198,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,278.6549599170685,157768481,21771862,41412921
Falcon,65024,German,Europarl.de,1.902,3.81,277.3554847240448,157768481,21771862,41412921
Falcon,65024,German,Gutenberg.de,2.069,3.2,383.1613907814026,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,381.7182238101959,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,385.8046770095825,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,384.2069680690765,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,384.6142432689667,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,382.125922203064,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,383.80017924308777,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,384.66434931755066,355733044,53718437,111153607
Falcon,65024,German,Gutenberg.de,2.069,3.2,381.2157883644104,355733044,53718437,111153607
Falcon,65024,German,Wikipedia.de,2.235,2.936,1606.443541288376,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1622.3607251644137,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1648.7192950248718,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1654.297176361084,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1638.1366183757782,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1651.6651439666748,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1655.2344191074371,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1664.29824757576,1269036036,193425915,432218168
Falcon,65024,German,Wikipedia.de,2.235,2.936,1673.6337368488312,1269036036,193425915,432218168
Falcon,65024,Italian,Gutenberg.it,2.008,3.138,227.36126399040225,211432934,33557403,67381852
Falcon,65024,Italian,Gutenberg.it,2.008,3.138,227.0906276702881,211432934,33557403,67381852
Falcon,65024,Italian,Gutenberg.it,2.008,3.138,228.159613609314,211432934,33557403,67381852
